Customer ID,First Paid Order Date,First Order Date,Total Spent
1075599,16/11/22 16:16,16/11/22 16:16,73.73
1075299,16/11/22 12:35,16/11/22 12:35,86.71
1075287,16/11/22 12:31,16/11/22 12:31,86.71
1075248,16/11/22 11:40,16/11/22 11:40,228
1075203,16/11/22 10:53,16/11/22 10:53,23.23
1075191,16/11/22 14:52,16/11/22 14:52,228
1075137,16/11/22 10:08,16/11/22 10:08,87.01
1075131,16/11/22 10:41,16/11/22 10:41,159.6
1075098,16/11/22 11:40,16/11/22 11:40,35
1075035,16/11/22 7:33,16/11/22 7:33,159.6
1074975,16/11/22 6:48,16/11/22 6:48,228
1074933,16/11/22 5:59,16/11/22 5:59,73.86
1074924,16/11/22 5:54,16/11/22 5:54,228
1074912,16/11/22 5:44,16/11/22 5:44,228
1074897,16/11/22 5:30,16/11/22 5:30,228
1074882,16/11/22 5:22,16/11/22 5:22,159.6
1074879,16/11/22 5:21,16/11/22 5:21,35
1074864,16/11/22 4:59,16/11/22 4:59,228
1074843,16/11/22 5:18,16/11/22 5:18,159.6
1074822,16/11/22 4:22,16/11/22 4:22,228
1074735,16/11/22 6:03,16/11/22 6:03,56
1074732,16/11/22 3:40,16/11/22 3:40,87.17
1074696,16/11/22 3:17,16/11/22 3:17,228
1074639,16/11/22 2:27,16/11/22 2:27,146.57
1074606,16/11/22 3:56,16/11/22 3:56,228
1074501,16/11/22 1:22,16/11/22 1:22,87.29
1074366,16/11/22 0:32,16/11/22 0:32,159.6
1074321,15/11/22 23:47,15/11/22 23:47,14.4
1074252,15/11/22 23:03,15/11/22 23:03,87.34
1074210,15/11/22 22:47,15/11/22 22:47,327.44
1074132,15/11/22 22:13,15/11/22 22:13,228
1074072,15/11/22 21:56,15/11/22 21:56,87.3
1074024,15/11/22 21:34,15/11/22 21:34,87.35
1073979,15/11/22 22:14,15/11/22 22:14,228
1073892,16/11/22 1:17,16/11/22 1:17,228
1073880,15/11/22 20:26,15/11/22 20:26,87.24
1073832,15/11/22 19:54,15/11/22 19:54,43.43
1073802,15/11/22 19:51,15/11/22 19:51,285.31
1073700,15/11/22 18:51,15/11/22 18:51,323.54
1073691,15/11/22 18:47,15/11/22 18:47,87.14
1073523,15/11/22 17:21,15/11/22 17:21,43.57
1073487,15/11/22 17:03,15/11/22 17:03,200.98
1073331,15/11/22 15:44,15/11/22 15:44,60.86
1073295,15/11/22 15:27,15/11/22 15:27,228
1073277,15/11/22 15:12,15/11/22 15:12,86.94
1073064,15/11/22 13:33,15/11/22 13:33,86.83
1073049,15/11/22 13:54,15/11/22 13:54,86.85
1073001,15/11/22 14:26,15/11/22 14:26,14.49
1072959,15/11/22 13:03,15/11/22 13:03,35
1072908,15/11/22 11:36,15/11/22 11:36,87.18
1072905,15/11/22 11:59,15/11/22 11:35,87.01
1072896,15/11/22 11:28,15/11/22 11:28,87.18
1072869,15/11/22 10:55,15/11/22 10:55,58.51
1072860,15/11/22 10:21,15/11/22 10:21,87.23
1072806,15/11/22 9:02,15/11/22 9:02,87.24
1072797,15/11/22 9:19,15/11/22 9:19,35
1072794,15/11/22 8:43,15/11/22 8:43,157.6
1072593,15/11/22 4:09,15/11/22 4:09,153.21
1072560,15/11/22 4:07,15/11/22 4:07,43.05
1072446,15/11/22 2:37,15/11/22 2:37,87.26
