Order ID,Order Number,Order Created At,Customer ID,Line Items,Billing Address Country,Net (USD)
695518,#695518,1/6/22 0:00,421796,KodeKloud Monthly Subscription x1,AR,17.5
695527,#695527,1/6/22 0:07,543072,KodeKloud Professional Monthly x1,NL,37.56
695533,#695533,1/6/22 0:11,#N/A,KodeKloud Professional Monthly x1,US,35
695536,#695536,1/6/22 0:12,652831,KodeKloud Monthly Subscription x1,NG,6
695551,#695551,1/6/22 0:15,302472,KodeKloud Professional Monthly x1,US,35
695563,#695563,1/6/22 0:18,10696,KodeKloud Monthly Subscription x1,KR,17.5
695566,#695566,1/6/22 0:21,212811,KodeKloud Monthly Subscription x1,IN,6.44
695569,#695569,1/6/22 0:22,545208,KodeKloud Monthly Subscription x1,IN,6.44
695581,#695581,1/6/22 0:31,652846,KodeKloud Monthly Subscription x1,IN,6.43
695590,#695590,1/6/22 0:31,350990,KodeKloud Professional Monthly x1,US,35
695608,#695608,1/6/22 0:40,644695,KodeKloud Professional Monthly x1,CA,38.76
695623,#695623,1/6/22 0:43,11687,KodeKloud Monthly Subscription x1,IN,6.43
695635,#695635,1/6/22 0:46,488193,KodeKloud Monthly Subscription x1,GR,18.78
695638,#695638,1/6/22 0:46,149664,KodeKloud Monthly Subscription x1,CA,19.38
695647,#695647,1/6/22 0:55,652888,KodeKloud Yearly Subscription x1,IN,38.57
695662,#695662,1/6/22 1:05,599064,KodeKloud Monthly Subscription x1,US,35
695689,#695689,1/6/22 1:27,257628,KodeKloud Monthly Subscription x1,US,17.5
695710,#695710,1/6/22 1:38,652966,KodeKloud Professional Yearly x1,US,228
695725,#695725,1/6/22 1:40,148278,KodeKloud Monthly Subscription x1,US,17.5
695728,#695728,1/6/22 1:41,387935,KodeKloud Professional Monthly x1,IN,12.87
695737,#695737,1/6/22 1:45,143907,KodeKloud Monthly Subscription x1,US,17.5
695740,#695740,1/6/22 1:47,607273,KodeKloud Yearly Subscription x1,IN,38.57
695746,#695746,1/6/22 1:48,279576,KodeKloud Professional Yearly x1,US,228
695767,#695767,1/6/22 1:53,616882,KodeKloud Professional Yearly x1,US,228
695776,#695776,1/6/22 1:54,146391,KodeKloud Professional Monthly x1,IN,25.74
695779,#695779,1/6/22 1:54,200763,KodeKloud Monthly Subscription x1,US,17.5
695794,#695794,1/6/22 2:00,143934,KodeKloud Monthly Subscription x1,ES,18.79
695803,#695803,1/6/22 2:09,445460,KodeKloud Monthly Subscription x1,US,35
695821,#695821,1/6/22 2:14,9602,KodeKloud Professional Monthly x1,US,35
695824,#695824,1/6/22 2:16,653017,KodeKloud Professional Yearly x1,CH,228
695830,#695830,1/6/22 2:18,543321,KodeKloud Professional Monthly x1,GB,44.16
695833,#695833,1/6/22 2:18,543303,KodeKloud Professional Monthly x1,US,35
695836,#695836,1/6/22 2:19,106109,KodeKloud Yearly Subscription x1,IN,38.57
695845,#695845,1/6/22 2:19,543306,KodeKloud Professional Monthly x1,US,35
695857,#695857,1/6/22 2:21,205524,KodeKloud Monthly Subscription x1,ES,18.79
695863,#695863,1/6/22 2:23,653041,KodeKloud Yearly Subscription x1,US,114
695890,#695890,1/6/22 2:36,138540,KodeKloud Monthly Subscription x1,CL,17.5
695905,#695905,1/6/22 2:44,349178,KodeKloud Professional Monthly x1,IN,12.86
695914,#695914,1/6/22 2:55,653083,KodeKloud Monthly Subscription x1,GB,22.08
695920,#695920,1/6/22 2:57,101498,KodeKloud Monthly Subscription x1,CO,28
695932,#695932,1/6/22 3:03,125243,KodeKloud Professional Monthly x1,IN,12.87
695935,#695935,1/6/22 3:06,328038,KodeKloud Monthly Subscription x1,FR,18.79
695944,#695944,1/6/22 3:11,430880,KodeKloud Monthly Subscription x1,IN,12.87
695947,#695947,1/6/22 3:16,18673,KodeKloud Monthly Subscription x1,US,17.5
695953,#695953,1/6/22 3:18,2212,KodeKloud Monthly Subscription x1,DE,18.79
695956,#695956,1/6/22 3:20,543078,KodeKloud Monthly Subscription x1,DE,18.79
695959,#695959,1/6/22 3:20,353099,KodeKloud Monthly Subscription x1,US,17.5
695962,#695962,1/6/22 3:20,653110,KodeKloud Professional Monthly x1,US,35
695977,#695977,1/6/22 3:27,242466,KodeKloud Monthly Subscription x1,US,17.5
695983,#695983,1/6/22 3:28,617161,KodeKloud Monthly Subscription x1,RS,17.5
695989,#695989,1/6/22 3:29,543423,KodeKloud Monthly Subscription x1,ZA,17.5
695995,#695995,1/6/22 3:29,261018,KodeKloud Monthly Subscription x1,PL,17.5
695998,#695998,1/6/22 3:32,304983,KodeKloud Monthly Subscription x1,NL,18.79
696004,#696004,1/6/22 3:45,11774,KodeKloud Professional Yearly x1,IN,77.18
696010,#696010,1/6/22 3:47,7043,KodeKloud Monthly Subscription x1,US,17.5
696016,#696016,1/6/22 3:50,636994,KodeKloud Monthly Subscription x1,UA,17.5
696037,#696037,1/6/22 4:06,653086,KodeKloud Professional Yearly x1,US,228
696058,#696058,1/6/22 4:13,351266,KodeKloud Monthly Subscription x1,US,17.5
696067,#696067,1/6/22 4:16,653194,KodeKloud Professional Yearly x1,US,228
696088,#696088,1/6/22 4:20,257826,KodeKloud Monthly Subscription x1,US,17.5
696094,#696094,1/6/22 4:20,262350,KodeKloud Monthly Subscription x1,AM,17.5
696097,#696097,1/6/22 4:23,298041,KodeKloud Monthly Subscription x1,US,14
696100,#696100,1/6/22 4:25,599274,KodeKloud Monthly Subscription x1,US,35
696106,#696106,1/6/22 4:34,86149,KodeKloud Monthly Subscription x1,US,17.5
696109,#696109,1/6/22 4:35,653203,KodeKloud Yearly Subscription x1,US,114
696118,#696118,1/6/22 4:42,349202,KodeKloud Monthly Subscription x1,US,17.5
696121,#696121,1/6/22 4:42,404834,KodeKloud Monthly Subscription x1,AR,17.5
696127,#696127,1/6/22 4:43,653215,KodeKloud Professional Yearly x1,US,228
696133,#696133,1/6/22 4:45,494004,KodeKloud Professional Monthly x1,US,35
696136,#696136,1/6/22 4:47,346007,KodeKloud Monthly Subscription x1,BR,20.93
696142,#696142,1/6/22 4:48,5563,KodeKloud Monthly Subscription x1,EG,17.5
696145,#696145,1/6/22 4:48,184911,KodeKloud Monthly Subscription x1,US,17.5
696148,#696148,1/6/22 4:53,599295,KodeKloud Monthly Subscription x1,US,17.5
696154,#696154,1/6/22 4:57,494016,KodeKloud Professional Monthly x1,US,35
696157,#696157,1/6/22 4:57,259629,KodeKloud Monthly Subscription x1,FR,18.79
696163,#696163,1/6/22 5:00,445601,KodeKloud Monthly Subscription x1,GB,44.11
696175,#696175,1/6/22 5:08,257307,KodeKloud Monthly Subscription x1,US,17.5
696178,#696178,1/6/22 5:10,110648,KodeKloud Professional Monthly x1,US,35
696181,#696181,1/6/22 5:12,207657,KodeKloud Professional Monthly x1,GB,44.11
696187,#696187,1/6/22 5:13,653233,KodeKloud Professional Yearly x1,US,228
696202,#696202,1/6/22 5:25,448169,KodeKloud Monthly Subscription x1,US,35
696205,#696205,1/6/22 5:25,719774,KodeKloud Monthly Subscription x1,TR,17.5
696211,#696211,1/6/22 5:28,439145,KodeKloud Professional Monthly x1,US,35
696214,#696214,1/6/22 5:29,259260,KodeKloud Monthly Subscription x1,US,17.5
696217,#696217,1/6/22 5:39,#N/A,KodeKloud Monthly Subscription x1,ES,18.78
696223,#696223,1/6/22 5:48,449810,KodeKloud Monthly Subscription x1,US,17.5
696226,#696226,1/6/22 5:48,319977,KodeKloud Monthly Subscription x1,IN,6.43
696238,#696238,1/6/22 6:04,653257,KodeKloud Professional Monthly x1,US,35
696244,#696244,1/6/22 6:05,375365,KodeKloud Monthly Subscription x1,US,17.5
696247,#696247,1/6/22 6:17,230112,KodeKloud Yearly Subscription x1,US,114
696253,#696253,1/6/22 6:18,545610,KodeKloud Monthly Subscription x1,US,17.5
696259,#696259,1/6/22 6:28,488592,KodeKloud Professional Monthly x1,NG,18
696268,#696268,1/6/22 6:39,527319,KodeKloud Yearly Subscription x1,US,114
696280,#696280,1/6/22 6:49,431234,KodeKloud Monthly Subscription x1,AU,27.98
696286,#696286,1/6/22 6:53,653311,KodeKloud Professional Yearly x1,US,228
696295,#696295,1/6/22 7:04,490338,KodeKloud Professional Monthly x1,AU,28.01
696298,#696298,1/6/22 7:09,261192,KodeKloud Monthly Subscription x1,AU,14
696310,#696310,1/6/22 7:18,205758,KodeKloud Monthly Subscription x1,DE,18.79
696313,#696313,1/6/22 7:28,293631,KodeKloud Monthly Subscription x1,NG,6
696325,#696325,1/6/22 8:00,138366,KodeKloud Monthly Subscription x1,IN,6.44
696328,#696328,1/6/22 8:03,116246,KodeKloud Professional Monthly x1,US,35
696343,#696343,1/6/22 8:06,653353,KodeKloud Monthly Subscription x1,CA,19.39
696349,#696349,1/6/22 8:07,404090,KodeKloud Monthly Subscription x1,EG,17.5
696364,#696364,1/6/22 8:50,#N/A,KodeKloud Professional Yearly x1,US,228
696370,#696370,1/6/22 8:50,494223,KodeKloud Professional Monthly x1,,12.87
696376,#696376,1/6/22 9:07,185013,KodeKloud Monthly Subscription x1,US,17.5
696379,#696379,1/6/22 9:14,494244,KodeKloud Professional Monthly x1,BR,41.94
696388,#696388,1/6/22 9:21,653392,KodeKloud Professional Yearly x1,IN,69.22
696400,#696400,1/6/22 9:24,492264,KodeKloud Professional Monthly x1,IL,35
696406,#696406,1/6/22 9:28,653413,KodeKloud Professional Monthly x1,US,35
696412,#696412,1/6/22 9:41,651232,KodeKloud Monthly Subscription x1,US,17.5
696421,#696421,1/6/22 9:43,169362,KodeKloud Monthly Subscription x1,IN,6.42
696442,#696442,1/6/22 10:02,45553,KodeKloud Yearly Subscription x1,IN,38.44
696448,#696448,1/6/22 10:10,472014,KodeKloud Professional Monthly x1,US,35
696457,#696457,1/6/22 10:19,653461,KodeKloud Professional Monthly x1,AR,35
696478,#696478,1/6/22 10:35,447116,KodeKloud Monthly Subscription x1,US,35
696484,#696484,1/6/22 10:42,353468,KodeKloud Monthly Subscription x1,AU,14.01
696496,#696496,1/6/22 10:50,40717,KodeKloud Professional Yearly x1,IN,38.44
696505,#696505,1/6/22 10:53,20869,KodeKloud Professional Yearly x1,IN,77.16
696514,#696514,1/6/22 10:54,649717,KodeKloud Professional Yearly x1,US,228
696520,#696520,1/6/22 10:54,502401,KodeKloud Professional Monthly x1,US,35
696541,#696541,1/6/22 11:07,261282,KodeKloud Professional Monthly x1,US,35
696550,#696550,1/6/22 11:07,511833,KodeKloud Monthly Subscription x1,AU,14.01
696562,#696562,1/6/22 11:10,653479,KodeKloud Monthly Subscription x1,US,17.5
696580,#696580,1/6/22 11:21,255477,KodeKloud Monthly Subscription x1,US,17.5
696586,#696586,1/6/22 11:26,112472,KodeKloud Professional Monthly x1,SG,35
696592,#696592,1/6/22 11:31,355751,KodeKloud Monthly Subscription x1,IN,6.44
696598,#696598,1/6/22 11:31,217035,KodeKloud Monthly Subscription x1,IN,6.44
696601,#696601,1/6/22 11:31,139248,KodeKloud Monthly Subscription x1,EC,17.5
696613,#696613,1/6/22 11:37,180156,KodeKloud Monthly Subscription x1,HK,17.5
696625,#696625,1/6/22 11:53,386762,KodeKloud Monthly Subscription x1,SE,17.5
696628,#696628,1/6/22 11:56,653539,KodeKloud Monthly Subscription x1,IN,6.44
696649,#696649,1/6/22 12:14,653482,KodeKloud Yearly Subscription x1,IN,38.59
696655,#696655,1/6/22 12:21,599604,KodeKloud Professional Monthly x1,US,52.5
696661,#696661,1/6/22 12:22,163383,KodeKloud Professional Monthly x1,US,35
696664,#696664,1/6/22 12:29,653287,KodeKloud Professional Monthly x1,US,35
696673,#696673,1/6/22 12:32,252762,KodeKloud Monthly Subscription x1,US,17.5
696682,#696682,1/6/22 12:38,154329,KodeKloud Professional Yearly x1,IN,77.2
696694,#696694,1/6/22 12:40,653551,KodeKloud Professional Yearly x1,IN,77.2
696700,#696700,1/6/22 12:42,147852,KodeKloud Monthly Subscription x1,IN,6.44
696727,#696727,1/6/22 12:58,260742,KodeKloud Monthly Subscription x1,US,17.5
696730,#696730,1/6/22 12:59,489675,KodeKloud Professional Monthly x1,IN,12.88
696745,#696745,1/6/22 13:07,442121,KodeKloud Professional Yearly x1,ES,244.29
696751,#696751,1/6/22 13:11,310431,KodeKloud Monthly Subscription x1,HR,17.5
696784,#696784,1/6/22 13:32,653641,KodeKloud Professional Yearly x1,IN,69.48
696808,#696808,1/6/22 13:41,652753,KodeKloud Professional Yearly x1,IN,77.2
696826,#696826,1/6/22 13:45,494514,KodeKloud Professional Monthly x1,US,35
